rank,company,ticker,industry,state,city,revenues_millions,profits_millions,assets_millions,market_value_millions,employees,website
29,Marathon Petroleum,MPC,Petroleum Refining,Ohio,Findlay,"$140,412","$3,445","$78,858","$45,387","18,300",https://www.marathonpetroleum.com
30,Verizon Communications,VZ,Telecommunications,New York,New York,"$134,788","$17,506","$384,711","$190,952.2","99,600",https://www.verizon.com
31,Nvidia,NVDA,Semiconductors and Other Electronic Components,California,Santa Clara,"$130,497","$72,880","$111,601","$2,644,472","36,000",https://www.nvidia.com
32,Goldman Sachs Group,GS,Commercial Banks,New York,New York,"$126,853","$14,276","$1,675,972","$176,092.4","46,500",https://www.goldmansachs.com
33,Wells Fargo,WFC,Commercial Banks,California,San Francisco,"$125,397","$19,722","$1,929,845","$234,405.8","217,502",https://www.wellsfargo.com
34,Valero Energy,VLO,Petroleum Refining,Texas,San Antonio,"$123,974","$2,770","$60,143","$41,530.8","9,910",https://www.valero.com
35,Comcast,CMCSA,Telecommunications,Pennsylvania,Philadelphia,"$123,731","$16,192","$266,211","$139,519.7","182,000",https://www.comcastcorporation.com
36,State Farm Insurance,~,Insurance: Property and Casualty (Mutual),Illinois,Bloomington,"$122,951","$5,287.3","$367,414",~,"67,381",
37,AT&T,T,Telecommunications,Texas,Dallas,"$122,336","$10,948","$394,795","$202,999","140,990",https://www.att.com
38,Freddie Mac,FMCC,Diversified Financials,Virginia,McLean,"$122,052","$11,858","$3,386,692","$3,477.8","8,090",https://www.freddiemac.com
39,Humana,HUM,Health Care: Insurance and Managed Care,Kentucky,Louisville,"$117,761","$1,207","$46,479","$31,935.3","65,680",https://www.humana.com
40,Morgan Stanley,MS,Commercial Banks,New York,New York,"$107,285","$13,390","$1,215,071","$188,171.9","80,478",https://www.morganstanley.com
41,Target,TGT,General Merchandisers,Minnesota,Minneapolis,"$106,566","$4,091","$57,769","$47,544","440,000",https://www.target.com
42,StoneX Group,SNEX,Diversified Financials,New York,New York,"$99,887.8",$260.8,"$27,466.3","$3,675.9","4,500",https://www.stonex.com
43,Tesla,TSLA,Motor Vehicles & Parts,Texas,Austin,"$97,690","$7,091","$122,070","$833,592.6","125,665",https://www.tesla.com
44,Dell Technologies,DELL,"Computers, Office Equipment",Texas,Round Rock,"$95,567","$4,592","$79,746","$63,608.2","108,000",https://www.delltechnologies.com/
45,PepsiCo,PEP,Food Consumer Products,New York,Purchase,"$91,854","$9,578","$99,467","$205,614.5","319,000",https://www.pepsico.com
46,Walt Disney,DIS,Entertainment,California,Burbank,"$91,361","$4,972","$196,219","$178,428.8","205,040",https://www.thewaltdisneycompany.com
47,UPS,UPS,"Mail, Package, and Freight Delivery",Georgia,Atlanta,"$91,070","$5,782","$70,070","$93,220","372,180",
48,Johnson & Johnson,JNJ,Pharmaceuticals,New Jersey,New Brunswick,"$88,821","$14,066","$180,104","$399,649.1","138,100",https://www.jnj.com
49,FedEx,FDX,"Mail, Package, and Freight Delivery",Tennessee,Memphis,"$87,693","$4,331","$87,007","$58,409.4","422,100",https://www.fedex.com
50,Archer Daniels Midland,ADM,Food Production,Illinois,Chicago,"$85,530","$1,800","$53,271","$23,052.3","43,213",https://www.adm.com
51,Procter & Gamble,PG,Household and Personal Products,Ohio,Cincinnati,"$84,039","$14,879","$122,370","$399,609.6","108,000",https://www.pginvestor.com
52,Lowe's,LOW,Specialty Retailers: Other,North Carolina,Mooresville,"$83,674","$6,957","$43,102","$130,540.4","215,500",https://www.lowes.com
53,Energy Transfer,ET,Pipelines,Texas,Dallas,"$82,671","$4,814","$125,380","$63,786.3","16,248",https://www.energytransfer.com
54,RTX,RTX,Aerospace & Defense,Virginia,Arlington,"$80,738","$4,774","$162,861","$176,846","186,000",https://www.rtx.com
55,Albertsons,ACI,Food & Drug Stores,Idaho,Boise,"$79,237.7","$1,296","$26,221.1","$12,740.6","196,650",https://www.albertsonscompanies.com
56,Sysco,SYY,Wholesalers: Food and Grocery,Texas,Houston,"$78,844","$1,955","$24,917","$36,711.8","76,000",https://www.sysco.com
57,Progressive,PGR,Insurance: Property and Casualty (Stock),Ohio,Mayfield Village,"$75,372","$8,480","$105,745","$165,910.7","66,308",https://www.progressive.com
58,American Express,AXP,Diversified Financials,New York,New York,"$74,201","$10,129","$271,461","$188,633.5","75,100",https://www.americanexpress.com
59,Lockheed Martin,LMT,Aerospace & Defense,Maryland,Bethesda,"$71,043","$5,336","$55,617","$104,786.1","121,000",https://www.lockheedmartin.com
60,MetLife,MET,"Insurance: Life, Health (stock)",New York,New York,"$70,986","$4,426","$677,457","$54,695.8","45,000",https://www.metlife.com
61,HCA Healthcare,HCA,Health Care: Medical Facilities,Tennessee,Nashville,"$70,603","$5,760","$59,513","$85,075.6","271,000",https://www.hcahealthcare.com
62,Prudential Financial,PRU,"Insurance: Life, Health (stock)",New Jersey,Newark,"$70,405","$2,727","$735,587","$39,582.4","37,936",https://www.prudential.com
63,Boeing,BA,Aerospace & Defense,Virginia,Arlington,"$66,517","$-11,817","$156,363","$128,323.1","172,000",https://www.boeing.com
64,Caterpillar,CAT,Construction and Farm Machinery,Texas,Irving,"$64,809","$10,792","$87,764","$157,622","112,900",https://www.caterpillar.com
65,Merck,MRK,Pharmaceuticals,New Jersey,Rahway,"$64,168","$17,117","$117,106","$226,737","74,000",https://www.merck.com
66,Allstate,ALL,Insurance: Property and Casualty (Stock),Illinois,Northbrook,"$64,106","$4,667","$111,617","$54,878.9","55,200",https://www.allstate.com
67,Pfizer,PFE,Pharmaceuticals,New York,New York,"$63,627","$8,031","$213,396","$143,714.7","81,000",https://www.pfizer.com
68,IBM,IBM,Information Technology Services,New York,Armonk,"$62,753","$6,023","$137,175","$230,573.5","284,500",https://www.ibm.com
69,New York Life Insurance,~,"Insurance: Life, Health (Mutual)",New York,New York,"$62,639.2",$250.2,"$431,944.2",~,"15,131",
70,Delta Air Lines,DAL,Airlines,Georgia,Atlanta,"$61,643","$3,457","$75,372","$28,163.9","103,000",https://www.delta.com
71,Publix Super Markets,~,Food & Drug Stores,Florida,Lakeland,"$60,177","$4,635","$37,601",~,"255,000",
72,Nationwide,~,Insurance: Property and Casualty (Mutual),Ohio,Columbus,"$58,645.9","$2,062.2","$307,070.9",~,"22,453",
73,TD Synnex,SNX,Wholesalers: Electronics and Office Equipment,California,Fremont,"$58,452.4",$689.1,"$30,274.5","$8,651.1","25,750",https://www.tdsynnex.com
74,United Airlines Holdings,UAL,Airlines,Illinois,Chicago,"$57,063","$3,149","$74,083","$22,602.8","107,300",https://www.united.com
75,ConocoPhillips,COP,"Mining, Crude-Oil Production",Texas,Houston,"$56,953","$9,245","$122,780","$132,762.6","11,800",https://www.conocophillips.com
76,TJX,TJX,Specialty Retailers: Apparel,Massachusetts,Framingham,"$56,360","$4,864","$31,749","$136,922.4","364,000",https://www.tjx.com
77,AbbVie,ABBV,Pharmaceuticals,Illinois,North Chicago,"$56,334","$4,278","$135,161","$370,636.3","55,000",https://www.abbvie.com
78,Enterprise Products Partners,EPD,Pipelines,Texas,Houston,"$56,219","$5,901","$77,168","$73,937","7,800",https://www.enterpriseproducts.com
79,Charter Communications,CHTR,Telecommunications,Connecticut,Stamford,"$55,085","$5,083","$150,020","$58,406.7","94,500",https://www.charter.com
80,Performance Food Group,PFGC,Wholesalers: Food and Grocery,Virginia,Richmond,"$54,681.2",$435.9,"$13,392.9","$12,283.3","36,815",https://www.pfgc.com
81,American Airlines Group,AAL,Airlines,Texas,Fort Worth,"$54,211",$846,"$61,783","$6,937.4","133,300",https://www.aa.com
82,Capital One Financial,COF,Commercial Banks,Virginia,McLean,"$53,938","$4,750","$490,144","$68,664.6","52,600",https://www.capitalone.com
83,Cisco Systems,CSCO,Network and Other Communications Equipment,California,San Jose,"$53,803","$10,320","$124,413","$245,500.4","90,400",https://www.cisco.com
84,HP,HPQ,"Computers, Office Equipment",California,Palo Alto,"$53,559","$2,775","$39,909","$26,103.4","58,000",https://www.hp.com
85,Tyson Foods,TSN,Food Production,Arkansas,Springdale,"$53,309",$800,"$37,100","$22,728.8","138,000",https://www.tysonfoods.com
86,Intel,INTC,Semiconductors and Other Electronic Components,California,Santa Clara,"$53,101","$-18,756","$196,485","$99,029","108,900",https://www.intel.com
87,Oracle,ORCL,Computer Software,Texas,Austin,"$52,961","$10,467","$140,976","$392,060","159,000",https://www.oracle.com
88,Broadcom,AVGO,Semiconductors and Other Electronic Components,California,Palo Alto,"$52,432","$5,895","$165,645","$787,244.2","37,000",https://www.broadcom.com
89,Deere,DE,Construction and Farm Machinery,Illinois,Moline,"$51,716","$7,100","$107,320","$127,388.1","55,524",https://www.deere.com
90,Nike,NKE,Apparel,Oregon,Beaverton,"$51,362","$5,700","$38,110","$93,895","79,400",https://investors.nike.com
91,Liberty Mutual Insurance Group,~,Insurance: Property and Casualty (Stock),Massachusetts,Boston,"$50,429","$4,383","$166,695",~,"40,000",
92,Plains GP Holdings,PAGP,Pipelines,Texas,Houston,"$50,073",$103,"$27,756","$4,223.8","4,200",https://www.plains.com
93,USAA,~,Insurance: Property and Casualty (Stock),Texas,San Antonio,"$48,560","$3,885.4","$220,582.6",~,"38,018",
94,Bristol-Myers Squibb,BMY,Pharmaceuticals,New Jersey,Princeton,"$48,300","$-8,948","$92,603","$124,100.2","34,100",https://www.bms.com
95,Ingram Micro Holding,INGM,Wholesalers: Electronics and Office Equipment,California,Irvine,"$47,983.7",$264.2,"$18,779.7","$4,165.8","26,125",
96,General Dynamics,GD,Aerospace & Defense,Virginia,Reston,"$47,716","$3,782","$55,880","$73,155.5","117,000",https://www.gd.com
97,Coca-Cola,KO,Beverages,Georgia,Atlanta,"$47,061","$10,631","$100,549","$308,221.5","69,700",https://www.coca-colacompany.com
98,TIAA,~,"Insurance: Life, Health (Mutual)",New York,New York,"$46,945.8","$-1,935.8","$655,708.3",~,"15,623",
99,Travelers,TRV,Insurance: Property and Casualty (Stock),New York,New York,"$46,423","$4,999","$133,189","$59,960.1","34,000",https://www.travelers.com
100,Eli Lilly,LLY,Pharmaceuticals,Indiana,Indianapolis,"$45,042.7","$10,590","$78,714.9","$782,953.7","47,000",https://www.lilly.com
101,Uber Technologies,UBER,Internet Services and Retailing,California,San Francisco,"$43,978","$9,856","$51,244","$152,369.1","31,100",https://www.uber.com
102,Massachusetts Mutual Life Insurance,~,"Insurance: Life, Health (Mutual)",Massachusetts,Springfield,"$43,072",$316.3,"$422,113.5",~,"11,192",
103,Dow,DOW,Chemicals,Michigan,Midland,"$42,964","$1,116","$57,312","$24,645.3","36,000",https://www.dow.com
104,Thermo Fisher Scientific,TMO,"Scientific,Photographic and Control Equipment",Massachusetts,Waltham,"$42,879","$6,335","$97,321","$187,725.2","125,000",https://www.thermofisher.com
105,U.S. Bancorp,USB,Commercial Banks,Minnesota,Minneapolis,"$42,712","$6,299","$678,318","$65,779.2","70,263",https://www.usbank.com
106,World Kinect,WKC,Energy,Florida,Miami,"$42,168",$67.4,"$6,731.8","$1,609.4","4,745",https://www.world-kinect.com
107,Abbott Laboratories,ABT,Medical Products and Equipment,Illinois,Abbott Park,"$41,950","$13,402","$81,414","$230,058","114,000",https://www.abbott.com
108,Best Buy,BBY,Specialty Retailers: Other,Minnesota,Richfield,"$41,528",$927,"$14,782","$15,558.9","85,000",https://www.investors.bestbuy.com
109,Northwestern Mutual,~,"Insurance: Life, Health (Mutual)",Wisconsin,Milwaukee,"$41,445",$560.7,"$378,324.1",~,"8,249",
110,Northrop Grumman,NOC,Aerospace & Defense,Virginia,Falls Church,"$41,033","$4,174","$49,359","$74,116.3","97,000",https://www.northropgrumman.com
111,Molina Healthcare,MOH,Health Care: Insurance and Managed Care,California,Long Beach,"$40,650","$1,179","$15,630","$18,017.6","18,000",https://www.molinahealthcare.com
112,Dollar General,DG,Specialty Retailers: Other,Tennessee,Goodlettsville,"$40,612.3","$1,125.3","$31,132.7","$19,339.9","194,200",https://www.dollargeneral.com
113,Bank of New York (BNY),BK,Commercial Banks,New York,New York,"$39,914","$4,530","$416,064","$60,216.5","51,800",
114,Warner Bros. Discovery,WBD,Entertainment,New York,New York,"$39,321","$-11,311","$104,560","$26,339.6","35,000",https://wbd.com
115,CHS,~,Food Production,Minnesota,Inver Grove Heights,"$39,261.2","$1,102.3","$18,715.1",~,"10,730",
116,Netflix,NFLX,Entertainment,California,Los Gatos,"$39,001","$8,711.6","$53,630.4","$398,896.3","14,000",https://www.netflix.com
117,Qualcomm,QCOM,Semiconductors and Other Electronic Components,California,San Diego,"$38,962","$10,142","$55,154","$169,892.7","49,000",https://www.qualcomm.com
118,General Electric (GE Aerospace),GE,Aerospace & Defense,Ohio,Evendale,"$38,702","$6,556","$123,140","$213,475.7","53,000",
119,Honeywell International,HON,Industrial Machinery,North Carolina,Charlotte,"$38,498","$5,705","$75,196","$137,376.6","102,000",https://www.honeywell.com
120,Salesforce,CRM,Computer Software,California,San Francisco,"$37,895","$6,197","$102,928","$257,894","76,453",https://www.salesforce.com
121,Philip Morris International,PM,Tobacco,Connecticut,Stamford,"$37,878","$7,057","$61,784","$247,061.4","83,100",https://www.pmi.com
122,US Foods Holding,USFD,Wholesalers: Food and Grocery,Illinois,Rosemont,"$37,877",$494,"$13,436","$15,080.6","30,000",https://www.usfoods.com
123,D.R. Horton,DHI,Homebuilders,Texas,Arlington,"$36,801.4","$4,756.4","$36,104.3","$40,061.5","14,766",https://www.drhorton.com
124,Lithia Motors,LAD,"Automotive Retailing, Services",Oregon,Medford,"$36,610.6",$802,"$23,127.9","$7,712","30,164",https://investors.lithiadriveway.com
125,Mondelez International,MDLZ,Food Consumer Products,Illinois,Chicago,"$36,441","$4,611","$68,497","$87,765.7","90,000",https://www.mondelezinternational.com
126,Starbucks,SBUX,Food Services,Washington,Seattle,"$36,176.2","$3,760.9","$31,339.3","$111,420.4","361,000",https://www.starbucks.com
127,Visa,V,Financial Data Services,California,San Francisco,"$35,926","$19,743","$94,511","$685,904.9","31,600",https://www.visa.com
128,CBRE Group,CBRE,Real estate,Texas,Dallas,"$35,767",$968,"$24,383","$39,238.9","140,000",https://www.cbre.com
129,Lennar,LEN,Homebuilders,Florida,Miami,"$35,441.5","$3,932.5","$41,312.8","$30,160.8","13,265",https://www.lennar.com
130,GE Vernova,GEV,Energy,Massachusetts,Cambridge,"$34,935","$1,552","$51,485","$83,446.9","76,800",
131,PNC Financial Services Group,PNC,Commercial Banks,Pennsylvania,Pittsburgh,"$34,440","$5,889","$560,038","$69,560.9","54,435",https://www.pnc.com
132,Cummins,CMI,Industrial Machinery,Indiana,Columbus,"$34,102","$3,946","$31,540","$43,174","69,600",https://www.cummins.com
133,Paccar,PCAR,Motor Vehicles & Parts,Washington,Bellevue,"$33,663.8","$4,162","$43,418.9","$51,112.9","30,100",https://www.paccar.com
134,Amgen,AMGN,Pharmaceuticals,California,Thousand Oaks,"$33,424","$4,090","$91,839","$167,366.2","28,000",https://www.amgen.com
135,PBF Energy,PBF,Petroleum Refining,New Jersey,Parsippany,"$33,115.3",$-533.8,"$12,703.2","$2,207.7","3,855",https://www.pbfenergy.com
136,GuideWell Mutual Holding,~,"Insurance: Life, Health (stock)",Florida,Jacksonville,"$32,955",$284.7,"$20,238.2",~,"17,936",
137,PayPal Holdings,PYPL,Financial Data Services,California,San Jose,"$31,797","$4,147","$81,611","$64,548.1","24,400",https://www.paypal.com
138,United Natural Foods,UNFI,Wholesalers: Food and Grocery,Rhode Island,Providence,"$30,980",$-112,"$7,528","$1,657.8","28,333",https://www.unfi.com
139,Dollar Tree,DLTR,Specialty Retailers: Other,Virginia,Chesapeake,"$30,845.6","$-3,030.1","$18,644","$16,146.3","139,572",https://www.dollartree.com
140,Nucor,NUE,Metals,North Carolina,Charlotte,"$30,734","$2,027","$33,940","$27,768","32,700",https://www.nucor.com
141,Penske Automotive Group,PAG,"Automotive Retailing, Services",Michigan,Bloomfield Hills,"$30,455.2",$918.9,"$16,720.9","$9,610.3","28,938",https://www.penskeautomotive.com
142,Coupang,CPNG,Internet Services and Retailing,Washington,Seattle,"$30,268",$154,"$15,344","$39,594.3","95,000",https://www.aboutcoupang.com
143,Hewlett Packard Enterprise,HPE,"Computers, Office Equipment",Texas,Spring,"$30,127","$2,579","$71,262","$20,268.5","61,000",https://www.hpe.com
144,Duke Energy,DUK,Utilities: Gas and Electric,North Carolina,Charlotte,"$29,938","$4,524","$186,343","$94,773.3","26,413",https://www.duke-energy.com
145,KKR,KKR,Securities,New York,New York,"$29,880.4","$3,076.2","$360,099.4","$102,690.6","4,834",https://www.kkr.com
146,Ferguson Enterprises,FERG,Wholesalers: Diversified,Virginia,Newport News,"$29,635","$1,735","$16,572","$31,837.7","35,000",
147,Paramount Global,PARA,Entertainment,New York,New York,"$29,213","$-6,190","$46,172","$8,460.9","20,350",https://www.paramount.com
148,Jabil,JBL,Semiconductors and Other Electronic Components,Florida,St. Petersburg,"$28,883","$1,388","$17,351","$14,855.9","138,000",https://www.jabil.com
149,Gilead Sciences,GILD,Pharmaceuticals,California,Foster City,"$28,754",$480,"$58,995","$139,685.4","17,600",https://www.gilead.com
150,HF Sinclair,DINO,Petroleum Refining,Texas,Dallas,"$28,580",$177,"$16,643","$6,194.8","5,297",https://www.hfsinclair.com
151,CarMax,KMX,"Automotive Retailing, Services",Virginia,Richmond,"$28,213.4",$479.2,"$27,196.8","$11,984.1","29,836",https://www.carmax.com
152,Mastercard,MA,Financial Data Services,New York,Purchase,"$28,167","$12,874","$48,081","$499,725.7","35,300",https://www.mastercard.com
153,NRG Energy,NRG,Energy,Texas,Houston,"$28,130","$1,125","$24,022","$19,442","15,637",https://www.nrg.com
154,Arrow Electronics,ARW,Wholesalers: Electronics and Office Equipment,Colorado,Centennial,"$27,923.3",$392.1,"$21,757.7","$5,385.4","21,520",https://www.arrow.com
155,Baker Hughes,BKR,"Oil and Gas Equipment, Services",Texas,Houston,"$27,829","$2,979","$38,363","$43,525.9","57,000",https://www.bakerhughes.com
156,Southwest Airlines,LUV,Airlines,Texas,Dallas,"$27,483",$465,"$33,750","$19,901.6","72,450",https://www.southwest.com
157,AIG,AIG,Insurance: Property and Casualty (Stock),New York,New York,"$27,251","$-1,404","$161,322","$51,584.4","22,200",https://www.aig.com
158,Applied Materials,AMAT,Semiconductors and Other Electronic Components,California,Santa Clara,"$27,176","$7,177","$34,409","$117,901.4","35,700",https://www.appliedmaterials.com
159,Occidental Petroleum,OXY,"Mining, Crude-Oil Production",Texas,Houston,"$26,880","$3,056","$85,445","$46,387.7","13,323",https://www.oxy.com
160,AutoNation,AN,"Automotive Retailing, Services",Florida,Fort Lauderdale,"$26,765.4",$692.2,"$13,001.7","$6,354.9","25,100",https://www.autonation.com
161,Southern,SO,Utilities: Gas and Electric,Georgia,Atlanta,"$26,724","$4,401","$145,180","$100,651.5","28,457",
162,Hartford Insurance Group,HIG,Insurance: Property and Casualty (Stock),Connecticut,Hartford,"$26,535","$3,111","$80,917","$35,310.9","19,100",
163,Apollo Global Management,APO,Securities,New York,New York,"$26,262","$4,577","$377,895","$78,121.6","5,108",https://www.apollo.com
164,Charles Schwab,SCHW,Securities,Texas,Westlake,"$25,999","$5,942","$479,843","$145,950","32,100",https://www.aboutschwab.com
165,McDonald's,MCD,Food Services,Illinois,Chicago,"$25,920","$8,223","$55,182","$223,176.2","150,000",https://www.investor.mcdonalds.com
166,Kraft Heinz,KHC,Food Consumer Products,Illinois,Chicago,"$25,846","$2,744","$88,287","$36,315.1","36,000",https://www.kraftheinzcompany.com
167,Advanced Micro Devices,AMD,Semiconductors and Other Electronic Components,California,Santa Clara,"$25,785","$1,641","$69,226","$166,058.4","28,000",https://www.amd.com
168,Truist Financial,TFC,Commercial Banks,North Carolina,Charlotte,"$25,612","$4,818","$531,176","$53,716.8","37,552",https://www.truist.com
169,Freeport-McMoRan,FCX,"Mining, Crude-Oil Production",Arizona,Phoenix,"$25,455","$1,889","$54,848","$54,407.6","28,500",https://www.fcx.com
170,Micron Technology,MU,Semiconductors and Other Electronic Components,Idaho,Boise,"$25,111",$778,"$69,416","$97,105.8","48,000",https://www.micron.com
171,Marriott International,MAR,"Hotels, Casinos, Resorts",Maryland,Bethesda,"$25,100","$2,375","$26,182","$65,593.8","155,000",https://www.marriott.com
172,Carrier Global,CARR,Industrial Machinery,Florida,Palm Beach Gardens,"$24,809","$5,604","$37,403","$54,776.8","48,000",https://www.corporate.carrier.com
173,NextEra Energy,NEE,Utilities: Gas and Electric,Florida,Juno Beach,"$24,753","$6,946","$190,144","$145,822.6","16,800",https://www.nexteraenergy.com
174,3M,MMM,Chemicals,Minnesota,St. Paul,"$24,575","$4,173","$39,868","$79,204.3","61,500",https://www.3m.com
175,Marsh & McLennan,MMC,Diversified Financials,New York,New York,"$24,458","$4,060","$56,481","$120,283.1","90,000",https://www.marshmclennan.com
176,PG&E,PCG,Utilities: Gas and Electric,California,Oakland,"$24,419","$2,475","$133,660","$37,685.6","28,410",https://www.pgecorp.com
177,Union Pacific,UNP,Railroads,Nebraska,Omaha,"$24,250","$6,747","$67,715","$141,582.9","32,439",https://www.up.com
178,Synchrony Financial,SYF,Diversified Financials,Connecticut,Stamford,"$24,166","$3,499","$119,463","$20,580.4","20,000",
179,Block,XYZ,Financial Data Services,California,Oakland,"$24,121.1","$2,897","$36,777.6","$33,656.3","11,372",
180,Danaher,DHR,Medical Products and Equipment,District Of Columbia,Washington,"$23,875","$3,899","$77,542","$146,667.3","62,000",https://www.danaher.com
181,Avnet,AVT,Wholesalers: Electronics and Office Equipment,Arizona,Phoenix,"$23,757.1",$498.7,"$12,209.1","$4,160","15,462",https://www.avnet.com
182,Booking Holdings,BKNG,Internet Services and Retailing,Connecticut,Norwalk,"$23,739","$5,882","$27,708","$151,176.7","24,179",https://www.bookingholdings.com
183,EOG Resources,EOG,"Mining, Crude-Oil Production",Texas,Houston,"$23,698","$6,403","$47,186","$70,730.1","3,150",https://www.eogresources.com
184,Quanta Services,PWR,Engineering & Construction,Texas,Houston,"$23,672.8",$904.8,"$18,683.9","$37,669","58,400",https://www.quantaservices.com
185,Discover,~,Diversified Financials,Illinois,Riverwoods,"$23,634","$4,535","$147,640","$42,948.8","21,000",
186,Constellation Energy,CEG,Energy,Maryland,Baltimore,"$23,568","$3,749","$52,926","$63,172.6","14,240",https://www.constellationenergy.com
187,Genuine Parts,GPC,Wholesalers: Diversified,Georgia,Atlanta,"$23,486.6",$904.1,"$19,282.7","$16,534.5","63,000",https://www.genpt.com
188,Jones Lang LaSalle,JLL,Real estate,Illinois,Chicago,"$23,432.9",$546.8,"$16,763.8","$11,748.9","112,100",https://www.jll.com
189,Lear,LEA,Motor Vehicles & Parts,Michigan,Southfield,"$23,306",$506.6,"$14,027.5","$4,731.9","173,700",https://www.lear.com
190,Live Nation Entertainment,LYV,Entertainment,California,Beverly Hills,"$23,155.6",$896.3,"$19,638.8","$30,477.5","24,200",https://www.livenationentertainment.com
191,Sherwin-Williams,SHW,Chemicals,Ohio,Cleveland,"$23,098.5","$2,681.4","$23,632.6","$87,824.8","63,890",https://www.sherwin.com
192,Exelon,EXC,Utilities: Gas and Electric,Illinois,Chicago,"$23,028","$2,460","$107,784","$46,519.4","20,014",https://www.exeloncorp.com
193,Macy's,M,General Merchandisers,New York,New York,"$23,006",$582,"$16,402","$3,488.1","94,189",https://www.macysinc.com
194,Halliburton,HAL,"Oil and Gas Equipment, Services",Texas,Houston,"$22,944","$2,501","$25,587","$22,023.5","48,000",https://www.halliburton.com
195,Stryker,SYK,Medical Products and Equipment,Michigan,Portage,"$22,595","$2,993","$42,971","$142,083.7","53,000",https://www.stryker.com
